,County,Num. Of Schools,2011 Count,2011 Awd Amount,2012 Count,2012 Awd Amount,2013 Count,2013 Awd Amount,2014 Count,2014 Awd Amount,2015 Count,2015 Awd Amount,2016 Count,2016 Awd Amount
0,Adams,2,9,38741.46,35,124064.88,116,406665.67,180,609754.71,184,582381.35,189,564369.74
1,Allen,38,550,2183236.46,1420,5582216.1,3430,13254965.07,5258,19485119.78,5976,23047382.25,6152,24660946.35
2,Bartholomew,5,48,154250.88,65,298758.08,137,553617.11,240,863750.77,303,1115834.37,399,1572651.09
3,Benton,1,9,0.0,0,16600.0,18,50800.0,30,76200.0,40,125293.0,45,134324.7
4,Boone,2,24,55589.65,48,184631.9,104,384614.01,149,577133.64,176,685436.48,234,969172.42
5,Cass,1,0,30905.0,19,79050.4,55,235478.4,68,198553.59,9,0.0,9,0.0
6,Clark,4,37,128559.18,79,309328.58,193,798886.08,369,1473639.74,423,1707002.88,434,1785951.35
7,Daviess,2,38,105120.32,86,345181.56,151,527032.04,191,673470.24,208,929009.22,234,1062294.48
8,Dearborn,4,18,9000.0,19,74815.9,50,130626.2,95,246290.15,134,364750.99,152,458360.36
9,Decatur,2,9,2805.0,0,22326.35,18,52185.0,39,113883.85,54,160387.47,63,189345.09
10,Dekalb,2,26,118612.38,78,300627.11,170,646487.38,266,1033644.05,286,1078982.13,299,1149986.22
11,Delaware,4,29,57616.0,69,189530.78,123,398180.99,260,1006034.9,271,1153150.41,239,1043968.84
12,Dubois,3,9,23946.73,23,50682.5,50,98767.08,73,154057.0,93,182517.42,100,202360.0
13,Elkhart,7,104,384443.05,270,1033024.43,527,2084525.88,691,2814397.69,1054,4603861.77,1128,5045259.87
14,Fayette,2,9,11682.0,9,34073.78,37,91289.67,71,198326.44,64,211550.0,87,250928.39
15,Floyd,5,38,126541.01,75,313178.66,179,644945.89,328,1226792.88,370,1405812.74,391,1497776.75
16,Fountain,1,0,21950.0,15,48209.12,28,101321.22,33,118340.7,27,102835.5,19,73579.87
17,Franklin,2,0,26154.97,10,48603.63,31,80821.92,72,226025.52,86,297264.03,94,284396.32
18,Gibson,4,27,7458.0,9,25176.93,63,114952.62,140,286364.54,153,326787.99,163,388993.94
19,Grant,4,68,367990.27,175,763221.44,307,1318831.86,346,1447192.51,402,1744307.16,413,1870292.82
20,Hamilton,8,36,67097.02,97,329427.21,154,644274.56,317,1346385.76,387,1650608.96,420,1826727.48
21,Hancock,1,0,25485.0,0,25300.0,41,124059.39,65,212731.02,57,183243.88,52,161090.8
22,Harrison,2,18,0.0,9,3095.0,28,71357.14,58,173753.34,59,181993.66,65,229476.15
23,Hendricks,6,9,125979.62,117,418324.16,268,954169.8,446,1641061.29,490,1905413.18,493,1951424.81
24,Howard,2,0,8642.55,22,80399.13,92,313800.62,171,598028.37,197,820822.12,199,845383.04
25,Huntington,2,26,70975.02,33,86665.16,53,197838.08,80,332709.39,105,449840.09,110,470137.54
26,Jackson,5,36,18467.94,36,26659.0,76,152406.77,199,610947.61,295,799935.09,308,919795.18
27,Jasper,3,11,55929.47,52,203341.3,130,488611.9,214,794702.8,222,861776.29,198,791272.36
28,Jay,1,18,62298.43,31,106410.14,57,264521.98,36,167539.38,37,174922.42,41,210326.84
29,Jefferson,3,0,49867.46,76,294618.93,184,608458.84,296,1040095.9,300,1097215.08,300,1115189.09
30,Jennings,1,0,20610.0,17,54625.93,53,143354.98,70,176587.77,69,183510.85,65,189833.78
31,Johnson,4,31,175030.88,137,547187.98,310,1264875.98,446,1670242.55,511,1969676.4,570,2176439.16
32,Knox,2,0,24761.29,21,82882.07,66,207802.12,124,402828.62,128,430743.47,124,424095.65
33,Kosciusko,3,9,57398.76,43,165178.24,105,380074.64,166,619716.85,206,790726.11,220,878524.35
34,LaGrange,1,0,8728.48,0,28398.76,0,0.0,0,0.0,12,57057.17,14,70107.56
35,LaPorte,8,116,396164.86,194,829310.06,360,1546768.64,500,2082939.47,550,2442018.62,544,2486474.91
36,Lake,31,550,1906528.49,974,4072312.12,1881,8240967.4,2487,10704913.74,2645,11698762.6,2719,12395780.92
37,Lawrence,1,0,8146.0,37,140789.39,63,227083.66,89,300571.93,91,314327.45,76,275028.03
38,Madison,10,176,603603.62,301,1114062.76,566,2093041.77,728,2758998.1,778,3117907.77,817,3305502.63
39,Marion,64,1350,5401897.72,2571,11160867.5,5110,22854429.45,6927,30131262.3,7797,35418215.54,8208,38559283.76
40,Marshall,1,0,32342.12,33,126356.68,56,208098.75,63,261281.44,77,332777.52,74,292850.29
41,Monroe,6,38,82949.48,98,302189.86,181,696817.71,244,1002027.53,210,782290.32,241,954907.47
42,Morgan,2,9,25262.42,9,28360.96,95,410974.23,259,1089624.35,313,1380678.24,351,1526142.05
43,Noble,2,10,34384.53,37,111747.08,75,227776.01,118,354166.96,131,398948.06,132,387448.81
44,Porter,5,43,117891.97,97,276987.97,203,728248.05,411,1661372.6,457,1952723.76,519,2262213.61
45,Posey,3,9,8030.0,9,26018.41,37,85761.1,69,154911.67,77,167658.39,86,193097.07
46,Ripley,2,9,0.0,10,32479.31,52,127247.64,102,262001.81,105,270632.13,87,256998.77
47,Rush,1,0,20930.0,17,63890.56,43,191150.4,48,209781.93,61,252876.54,54,232219.48
48,Scott,1,11,34256.98,33,139993.15,50,236053.48,69,315259.57,72,340677.59,77,374685.9
49,Shelby,1,0,24500.0,17,61000.0,32,119162.39,41,162225.68,43,162526.58,42,155866.64
50,Spencer,1,21,53175.12,29,71606.24,48,112532.92,68,166252.47,68,184173.52,80,217906.61
51,St Joseph,25,414,1830612.19,842,3660809.09,1825,7681286.92,2637,10767092.1,2869,11939328.87,3007,13165521.49
52,St. Joseph,1,9,0.0,9,0.0,53,212384.89,95,378415.17,109,428243.66,116,461160.24
53,Starke,1,0,2485.0,0,18900.0,11,24185.0,39,83580.0,58,138161.85,57,182919.12
54,Tippecanoe,9,39,215357.31,216,702969.5,462,1699654.73,707,2551228.01,801,3103845.23,861,3498633.64
55,Vanderburgh,17,100,488594.26,323,1324218.7,938,3656366.14,1484,5642343.81,1577,6141610.66,1689,6743031.25
56,Vigo,4,18,151847.4,44,242333.62,120,404499.75,150,489145.36,172,592992.62,172,612274.3
57,Wabash,1,0,9000.0,0,34453.03,21,86248.96,27,101802.07,32,124130.32,47,213587.05
58,Warrick,1,0,4398.31,0,34876.22,35,103485.12,68,203626.08,71,225003.13,89,282202.01
59,Wayne,4,24,129680.41,97,390709.34,188,778620.01,281,1050350.52,309,1173452.81,323,1266232.28
60,Whitley,1,9,0.0,12,54824.56,14,66741.36,22,109527.1,23,113915.66,30,153592.95
